price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_log
7035000,6360,4,2,3,1,0,0,0,1,2,1,False,False,8.757940876678804
7000000,11175,3,1,1,1,0,1,0,1,1,1,False,False,9.321523900936798
6930000,8880,3,2,2,1,0,1,0,1,1,0,False,False,9.091669442258505
6930000,13200,2,1,1,1,0,1,1,0,1,0,False,False,9.488047863280759
6895000,7700,3,2,1,1,0,0,0,0,2,0,False,True,8.94910546953925
6860000,6000,3,1,1,1,0,0,0,1,1,0,False,False,8.699681400989514
6790000,12090,4,2,2,1,0,0,0,0,2,1,False,False,9.400216653174247
6790000,4000,3,2,2,1,0,1,0,1,0,1,True,False,8.294299608857235
6755000,6000,4,2,4,1,0,0,0,1,0,0,False,True,8.699681400989514
6720000,5020,3,1,4,1,0,0,0,1,0,1,False,True,8.521384396034705
6685000,6600,2,2,4,1,0,1,0,0,0,1,False,False,8.79497643168877
6650000,4040,3,1,2,1,0,1,1,0,1,0,False,False,8.304247465078474
6650000,4260,4,2,2,1,0,0,1,0,0,0,True,False,8.357259153499912
6650000,6420,3,2,3,1,0,0,0,1,0,1,False,False,8.76732914779405
6650000,6500,3,2,3,1,0,0,0,1,0,1,False,False,8.77971129020447
6650000,5700,3,1,1,1,1,1,0,1,2,1,False,False,8.648396877031582
6650000,6000,3,2,3,1,1,0,0,1,0,0,False,False,8.699681400989514
6629000,6000,3,1,2,1,0,0,1,0,1,1,True,False,8.699681400989514
6615000,4000,3,2,2,1,0,1,0,1,1,0,True,False,8.294299608857235
6615000,10500,3,2,1,1,0,1,0,1,1,1,False,False,9.259225769705994
6580000,6000,3,2,4,1,0,0,0,1,0,0,True,False,8.699681400989514
6510000,3760,3,1,2,1,0,0,1,0,2,0,True,False,8.232440158470336
6510000,8250,3,2,3,1,0,0,0,1,0,0,False,False,9.018089684104343
6510000,6670,3,1,3,1,0,1,0,0,0,1,False,True,8.805525052709516
6475000,3960,3,1,1,1,0,1,0,0,2,0,True,False,8.284251797621916
6475000,7410,3,1,1,1,1,1,0,1,2,1,False,True,8.910720661951359
6440000,8580,5,3,2,1,0,0,0,0,2,0,False,False,9.057305735807121
6440000,5000,3,1,2,1,0,0,0,1,0,0,True,False,8.517393171418904
6419000,6750,2,1,1,1,1,1,0,0,2,1,False,False,8.81744592104187
6405000,4800,3,2,4,1,1,0,0,1,0,0,False,False,8.476579508530941
6300000,7200,3,2,1,1,0,1,0,1,3,0,True,False,8.881975184248867
6300000,6000,4,2,4,1,0,0,0,0,1,0,True,False,8.699681400989514
6300000,4100,3,2,3,1,0,0,0,1,2,0,True,False,8.31898612539206
6300000,9000,3,1,1,1,0,1,0,0,1,1,False,False,9.105090961257085
6300000,6400,3,1,1,1,1,1,0,1,1,1,True,False,8.764209507142004
6293000,6600,3,2,3,1,0,0,0,1,0,1,False,True,8.79497643168877
6265000,6000,4,1,3,1,1,1,0,0,0,1,False,True,8.699681400989514
6230000,6600,3,2,1,1,0,1,0,1,0,1,False,True,8.79497643168877
6230000,5500,3,1,3,1,0,0,0,0,1,1,False,True,8.612685172875459
6195000,5500,3,2,4,1,1,0,0,1,1,0,True,False,8.612685172875459
6195000,6350,3,2,3,1,1,0,0,1,0,0,False,False,8.756367559802975
6195000,5500,3,2,1,1,1,1,0,0,2,1,False,False,8.612685172875459
6160000,4500,3,1,4,1,0,0,0,1,0,0,False,True,8.412054873292933
6160000,5450,4,2,1,1,0,1,0,1,0,1,True,False,8.603554357064281
6125000,6420,3,1,3,1,0,1,0,0,0,1,False,True,8.76732914779405
6107500,3240,4,1,3,1,0,0,0,0,1,0,True,False,8.083637203141548
6090000,6615,4,2,2,1,1,0,1,0,1,0,True,False,8.797246236703527
6090000,6600,3,1,1,1,1,1,0,0,2,1,True,False,8.79497643168877
6090000,8372,3,1,3,1,0,0,0,1,2,0,False,True,9.032767522204432
6083000,4300,6,2,2,1,0,0,0,0,0,0,False,False,8.366602832783736
6083000,9620,3,1,1,1,0,1,0,0,2,1,False,False,9.171703488361265
6020000,6800,2,1,1,1,1,1,0,0,2,0,False,False,8.824824939175638
6020000,8000,3,1,1,1,1,1,0,1,2,1,True,False,8.987321812850125
6020000,6900,3,2,1,1,1,1,0,0,0,1,False,True,8.839421607620602
5950000,3700,4,1,2,1,1,0,0,1,0,0,False,False,8.216358332386156
5950000,6420,3,1,1,1,0,1,0,1,0,1,False,False,8.76732914779405
5950000,7020,3,1,1,1,0,1,0,1,2,1,True,False,8.85666093701725
5950000,6540,3,1,1,1,1,1,0,0,2,1,False,False,8.785845337961213
5950000,7231,3,1,2,1,1,1,0,1,0,1,True,False,8.886270902072013
5950000,6254,4,2,1,1,0,1,0,0,1,1,True,False,8.741136422901011
5950000,7320,4,2,2,1,0,0,0,0,0,0,False,False,8.898502209646642
5950000,6525,3,2,4,1,0,0,0,0,1,0,False,False,8.783549477153265
5943000,15600,3,1,1,1,0,0,0,1,2,0,True,False,9.65509029374725
5880000,7160,3,1,1,1,0,1,0,0,2,1,False,True,8.87640491500694
5880000,6500,3,2,3,1,0,0,0,1,0,0,False,True,8.77971129020447
5873000,5500,3,1,3,1,1,0,0,1,1,0,False,False,8.612685172875459
5873000,11460,3,1,3,1,0,0,0,0,2,1,True,False,9.346705246496699
5866000,4800,3,1,1,1,1,1,0,0,0,0,False,True,8.476579508530941
5810000,5828,4,1,4,1,1,0,0,0,0,0,True,False,8.67060073804555
5810000,5200,3,1,3,1,0,0,0,1,0,0,True,False,8.556606193773073
5810000,4800,3,1,3,1,0,0,0,1,0,0,False,True,8.476579508530941
5803000,7000,3,1,1,1,0,1,0,0,2,1,True,False,8.853808274977197
5775000,6000,3,2,4,1,0,0,0,1,0,0,False,True,8.699681400989514
5740000,5400,4,2,2,1,0,0,0,1,2,0,False,True,8.594339400592892
5740000,4640,4,1,2,1,0,0,0,0,1,0,True,False,8.442685139241176
5740000,5000,3,1,3,1,0,0,0,1,0,0,True,False,8.517393171418904
5740000,6360,3,1,1,1,1,1,0,1,2,1,False,False,8.757940876678804
5740000,5800,3,2,4,1,0,0,0,1,0,0,False,True,8.665785595466064
5652500,6660,4,2,2,1,1,1,0,0,1,1,True,False,8.804024902413179
5600000,10500,4,2,2,1,0,0,0,0,1,0,True,False,9.259225769705994
5600000,4800,5,2,3,0,0,1,1,0,0,0,False,True,8.476579508530941
5600000,4700,4,1,2,1,1,1,0,1,1,0,False,False,8.45553053102413
5600000,5000,3,1,4,1,0,0,0,0,0,0,False,False,8.517393171418904
5600000,10500,2,1,1,1,0,0,0,0,1,0,True,False,9.259225769705994
5600000,5500,3,2,2,1,0,0,0,0,1,0,True,False,8.612685172875459
5600000,6360,3,1,3,1,0,0,0,0,0,1,True,False,8.757940876678804
5600000,6600,4,2,1,1,0,1,0,0,0,1,True,False,8.79497643168877
5600000,5136,3,1,2,1,1,1,0,1,0,1,False,True,8.544224530467268
5565000,4400,4,1,2,1,0,0,0,1,2,1,True,False,8.38958706681109
5565000,5400,5,1,2,1,1,1,0,1,0,1,False,False,8.594339400592892
5530000,3300,3,3,2,1,0,1,0,0,0,0,True,False,8.101980731853192
5530000,3650,3,2,2,1,0,0,0,0,2,0,True,False,8.202756381655638
5530000,6100,3,2,1,1,0,1,0,0,2,1,False,False,8.716207971151853
5523000,6900,3,1,1,1,1,1,0,0,0,1,True,False,8.839421607620602
5495000,2817,4,2,2,0,1,1,0,0,1,0,False,False,7.943782692458625
5495000,7980,3,1,1,1,0,0,0,0,2,0,True,False,8.984818995876008
5460000,3150,3,2,1,1,1,1,0,1,0,0,False,False,8.055475141757274
5460000,6210,4,1,4,1,1,0,0,1,0,0,False,False,8.734077192559303
5460000,6100,3,1,3,1,1,0,0,1,0,1,True,False,8.716207971151853
5460000,6600,4,2,2,1,1,1,0,0,0,1,True,False,8.79497643168877
5425000,6825,3,1,1,1,1,1,0,1,0,1,True,False,8.828494129466652
5390000,6710,3,2,2,1,1,1,0,0,1,1,False,False,8.811503250158239
5383000,6450,3,2,1,1,1,1,1,0,0,0,False,True,8.771990436532242
5320000,7800,3,1,1,1,0,1,0,1,2,1,False,True,8.962007209588313
5285000,4600,2,2,1,1,0,0,0,1,2,0,True,False,8.434028950155469
5250000,4260,4,1,2,1,0,1,0,1,0,0,False,False,8.357259153499912
5250000,6540,4,2,2,0,0,0,0,1,0,0,True,False,8.785845337961213
5250000,5500,3,2,1,1,0,1,0,0,0,0,True,False,8.612685172875459
5250000,10269,3,1,1,1,0,0,0,0,1,1,True,False,9.236982302922604
5250000,8400,3,1,2,1,1,1,0,1,2,1,False,True,9.036106025364846
5250000,5300,4,2,1,1,0,0,0,1,0,1,False,True,8.575650760987806
5250000,3800,3,1,2,1,1,1,0,0,1,1,False,True,8.24301946898925
5250000,9800,4,2,2,1,1,0,0,0,2,0,True,False,9.19023970026918
5250000,8520,3,1,1,1,0,0,0,1,2,0,False,False,9.050288983827956
5243000,6050,3,1,1,1,0,1,0,0,0,1,True,False,8.707978826622321
5229000,7085,3,1,1,1,1,1,0,0,2,1,True,False,8.865876285425417
5215000,3180,3,2,2,1,0,0,0,0,2,0,True,False,8.064950891749143
5215000,4500,4,2,1,0,0,1,0,1,2,0,True,False,8.412054873292933
5215000,7200,3,1,2,1,1,1,0,0,1,1,False,False,8.881975184248867
5145000,3410,3,1,2,0,0,0,0,1,0,0,True,False,8.134760782418645
5145000,7980,3,1,1,1,0,0,0,0,1,1,True,False,8.984818995876008
5110000,3000,3,2,2,1,1,1,0,0,0,0,False,False,8.006700845440367
5110000,3000,3,1,2,1,0,1,0,0,0,0,False,True,8.006700845440367
5110000,11410,2,1,2,1,0,0,0,0,0,1,False,False,9.34233308143468
5110000,6100,3,1,1,1,0,1,0,1,0,1,True,False,8.716207971151853
5075000,5720,2,1,2,1,0,0,0,1,0,1,False,True,8.651898894268529
5040000,3540,2,1,1,0,1,1,0,0,0,0,True,False,8.172164452111904
5040000,7600,4,1,2,1,0,0,0,1,2,0,False,False,8.936035096566041
5040000,10700,3,1,2,1,1,1,0,0,0,0,True,False,9.278092474027002
5040000,6600,3,1,1,1,1,1,0,0,0,1,False,False,8.79497643168877
5033000,4800,2,1,1,1,1,1,0,0,0,0,True,False,8.476579508530941
5005000,8150,3,2,1,1,1,1,0,0,0,0,True,False,9.005895898094458
4970000,4410,4,3,2,1,0,1,0,0,2,0,True,False,8.39185670010494
4970000,7686,3,1,1,1,1,1,1,0,0,0,True,False,8.947285869349132
4956000,2800,3,2,2,0,0,1,0,1,1,0,True,False,7.937731775260109
4935000,5948,3,1,2,1,0,0,0,1,0,0,True,False,8.690978417187905
4907000,4200,3,1,2,1,0,0,0,0,1,0,False,False,8.343077871169383
4900000,4520,3,1,2,1,0,1,0,1,0,0,True,False,8.416488487294606
4900000,4095,3,1,2,0,1,1,0,1,0,0,True,False,8.317766166719343
4900000,4120,2,1,1,1,0,1,0,0,1,0,True,False,8.323851131338817
4900000,5400,4,1,2,1,0,0,0,0,0,0,True,False,8.594339400592892
4900000,4770,3,1,1,1,1,1,0,0,0,0,True,False,8.470311205516108
4900000,6300,3,1,1,1,0,0,0,1,2,0,True,False,8.748463629942055
4900000,5800,2,1,1,1,1,1,0,1,0,0,True,False,8.665785595466064
4900000,3000,3,1,2,1,0,1,0,1,0,0,True,False,8.006700845440367
4900000,2970,3,1,3,1,0,0,0,0,0,0,True,False,7.9966538754626075
4900000,6720,3,1,1,1,0,0,0,0,0,0,False,True,8.812992231969966
4900000,4646,3,1,2,1,1,1,0,0,2,0,True,False,8.443977129084978
4900000,12900,3,1,1,1,0,0,0,0,2,0,False,False,9.465060106725137
4893000,3420,4,2,2,1,0,1,0,1,2,0,True,False,8.137688184977605
4893000,4995,4,2,1,1,0,1,0,0,0,0,True,False,8.516392871245468
4865000,4350,2,1,1,1,0,1,0,0,0,0,False,True,8.37816098272068
4830000,4160,3,1,3,1,0,0,0,0,0,0,False,True,8.333510708982942
4830000,6040,3,1,1,1,0,0,0,0,2,1,True,False,8.706324840138741
4830000,6862,3,1,2,1,0,0,0,1,2,1,False,False,8.833899942908635
4830000,4815,2,1,1,1,0,0,0,1,0,1,True,False,8.479698986988657
4795000,7000,3,1,2,1,0,1,0,0,0,0,False,True,8.853808274977197
4795000,8100,4,1,4,1,0,1,0,1,2,0,True,False,8.999742789830492
4767000,3420,4,2,2,1,0,0,0,0,0,0,True,False,8.137688184977605
4760000,9166,2,1,1,1,0,1,0,1,2,0,True,False,9.123365357961776
4760000,6321,3,1,2,1,0,1,0,1,1,0,False,False,8.751790892775563
4760000,10240,2,1,1,1,0,0,0,1,2,1,False,True,9.234154550075438
4753000,6440,2,1,1,1,0,0,0,1,3,0,True,False,8.77043908654689
4690000,5170,3,1,4,1,0,0,0,1,0,0,True,False,8.550821372396221
4690000,6000,2,1,1,1,0,1,0,1,1,0,False,False,8.699681400989514
4690000,3630,3,1,2,1,0,0,0,0,2,0,True,False,8.197263371414335
4690000,9667,4,2,2,1,1,1,0,0,1,0,True,False,9.176576741823373
4690000,5400,2,1,2,1,0,0,0,0,0,1,True,False,8.594339400592892
4690000,4320,3,1,1,1,0,0,0,0,0,1,True,False,8.371242135931933
4655000,3745,3,1,2,1,0,1,0,0,0,0,False,False,8.228443883004033
4620000,4160,3,1,1,1,1,1,0,1,0,0,False,True,8.333510708982942
4620000,3880,3,2,2,1,0,1,0,0,2,0,True,False,8.263848131368906
4620000,5680,3,1,2,1,1,0,0,1,1,0,True,False,8.644882552557126
4620000,2870,2,1,2,1,1,1,0,0,0,1,True,False,7.9624156801210635
4620000,5010,3,1,2,1,0,1,0,0,0,0,True,False,8.519390774959724
4613000,4510,4,2,2,1,0,1,0,0,0,0,True,False,8.414274137408396
4585000,4000,3,1,2,1,0,0,0,0,1,0,False,False,8.294299608857235
4585000,3840,3,1,2,1,0,0,0,0,1,1,True,False,8.253488028345904
4550000,3760,3,1,1,1,0,0,0,0,2,0,True,False,8.232440158470336
4550000,3640,3,1,2,1,0,0,0,1,0,0,False,False,8.200013648175434
4550000,2550,3,1,2,1,0,1,0,0,0,0,False,False,7.844240718141811
4550000,5320,3,1,2,1,1,1,0,0,0,1,True,False,8.579416534596369
4550000,5360,3,1,2,1,0,0,0,0,2,1,False,True,8.586905803827538
4550000,3520,3,1,1,1,0,0,0,0,0,1,True,False,8.166500319155052
4550000,8400,4,1,4,1,0,0,0,0,3,0,False,True,9.036106025364846
4543000,4100,2,2,1,1,1,1,0,0,0,0,True,False,8.31898612539206
4543000,4990,4,2,2,1,1,1,0,0,0,1,False,False,8.515391569469609
4515000,3510,3,1,3,1,0,0,0,0,0,0,True,False,8.163656176168432
4515000,3450,3,1,2,1,0,1,0,0,1,0,True,False,8.146419323098003
4515000,9860,3,1,1,1,0,0,0,0,0,0,True,False,9.19634286233233
4515000,3520,2,1,2,1,0,0,0,0,0,1,False,False,8.166500319155052
4480000,4510,4,1,2,1,0,0,0,1,2,0,True,False,8.414274137408396
4480000,5885,2,1,1,1,0,0,0,1,1,0,False,True,8.680331928793418
4480000,4000,3,1,2,1,0,0,0,0,2,0,False,False,8.294299608857235
4480000,8250,3,1,1,1,0,0,0,0,0,0,False,False,9.018089684104343
4480000,4040,3,1,2,1,0,0,0,0,1,0,True,False,8.304247465078474
4473000,6360,2,1,1,1,0,1,0,1,1,0,False,False,8.757940876678804
4473000,3162,3,1,2,1,0,0,0,1,1,0,False,False,8.059276223305648
4473000,3510,3,1,2,1,0,0,0,0,0,0,True,False,8.163656176168432
4445000,3750,2,1,1,1,1,1,0,0,0,0,True,False,8.229777750081887
4410000,3968,3,1,2,0,0,0,0,0,0,0,True,False,8.286269452783065
4410000,4900,2,1,2,1,0,1,0,0,0,0,True,False,8.497194544909547
4403000,2880,3,1,2,1,0,0,0,0,0,1,True,False,7.9658927350845286
4403000,4880,3,1,1,1,0,0,0,0,2,1,False,True,8.493105395887147
4403000,4920,3,1,2,1,0,0,0,0,1,0,True,False,8.501267040865978
4382000,4950,4,1,2,1,0,0,0,1,0,0,True,False,8.507344855361422
4375000,3900,3,1,2,1,0,0,0,0,0,0,False,True,8.268988209506656
4340000,4500,3,2,3,1,0,0,1,0,1,0,False,False,8.412054873292933
4340000,1905,5,1,2,0,0,1,0,0,0,0,True,False,7.552762084214147
4340000,4075,3,1,1,1,1,1,0,0,2,0,True,False,8.312871394342615
4340000,3500,4,1,2,1,0,0,0,0,2,0,False,False,8.160803920954665
4340000,6450,4,1,2,1,0,0,0,0,0,0,True,False,8.771990436532242
4319000,4032,2,1,1,1,0,1,0,0,0,0,False,False,8.302265794873367
4305000,4400,2,1,1,1,0,0,0,0,1,0,True,False,8.38958706681109
4305000,10360,2,1,1,1,0,0,0,0,1,1,True,False,9.245804036251752
4277000,3400,3,1,2,1,0,1,0,0,2,1,True,False,8.131824785007195
4270000,6360,2,1,1,1,0,0,0,0,0,0,False,False,8.757940876678804
4270000,6360,2,1,2,1,0,0,0,0,0,0,False,True,8.757940876678804
4270000,4500,2,1,1,1,0,0,0,1,2,0,False,False,8.412054873292933
4270000,2175,3,1,2,0,1,1,0,1,0,0,False,True,7.685243607975833
4270000,4360,4,1,2,1,0,0,0,0,0,0,False,False,8.380456667842767
4270000,7770,2,1,1,1,0,0,0,0,1,0,False,False,8.958154135209242
4235000,6650,3,1,2,1,1,0,0,0,0,0,True,False,8.802522498284421
4235000,2787,3,1,1,1,0,1,0,0,0,1,False,False,7.933079771880415
4200000,5500,3,1,2,1,0,0,0,1,0,0,False,True,8.612685172875459
4200000,5040,3,1,2,1,0,1,0,1,0,0,False,True,8.525359754082631
4200000,5850,2,1,1,1,1,1,0,0,2,0,True,False,8.674367865788236
4200000,2610,4,3,2,0,0,0,0,0,0,0,True,False,7.8674885686991285
4200000,2953,3,1,2,1,0,1,0,1,0,0,False,True,7.9909154630913255
4200000,2747,4,2,2,0,0,0,0,0,0,0,True,False,7.91862865334224
4200000,4410,2,1,1,0,0,0,0,0,1,0,False,True,8.39185670010494
4200000,4000,4,2,2,0,0,0,0,0,0,0,True,False,8.294299608857235
4200000,2325,3,1,2,0,0,0,0,0,0,0,True,False,7.75190533307861
4200000,4600,3,2,2,1,0,0,0,1,1,0,True,False,8.434028950155469
4200000,3640,3,2,2,1,0,1,0,0,0,0,False,True,8.200013648175434
4200000,5800,3,1,1,1,0,0,1,0,2,0,True,False,8.665785595466064
4200000,7000,3,1,1,1,0,0,0,0,3,0,False,False,8.853808274977197
4200000,4079,3,1,3,1,0,0,0,0,0,0,True,False,8.313852267398207
4200000,3520,3,1,2,1,0,0,0,0,0,1,True,False,8.166500319155052
4200000,2145,3,1,3,1,0,0,0,0,1,1,False,True,7.671360923190644
4200000,4500,3,1,1,1,0,1,0,0,0,0,False,False,8.412054873292933
4193000,8250,3,1,1,1,0,1,0,0,3,0,True,False,9.018089684104343
4193000,3450,3,1,2,1,0,0,0,0,1,0,True,False,8.146419323098003
4165000,4840,3,1,2,1,0,0,0,0,1,0,True,False,8.484876589939695
4165000,4080,3,1,2,1,0,0,0,0,2,0,True,False,8.314097335405807
4165000,4046,3,1,2,1,0,1,0,0,1,0,True,False,8.305731144875866
4130000,4632,4,1,2,1,0,0,0,1,0,0,True,False,8.440959885416648
4130000,5985,3,1,1,1,0,1,0,0,0,0,True,False,8.697178688412643
4123000,6060,2,1,1,1,0,1,0,0,1,0,True,False,8.709630081951286
4098500,3600,3,1,1,1,0,1,0,1,0,1,False,False,8.188966863648876
4095000,3680,3,2,2,1,0,0,0,0,0,0,True,False,8.210939733379021
4095000,4040,2,1,2,1,0,0,0,0,1,0,True,False,8.304247465078474
4095000,5600,2,1,1,1,0,0,0,1,0,0,True,False,8.630700432209832
4060000,5900,4,2,2,0,0,1,0,0,1,0,False,True,8.682877107057168
4060000,4992,3,2,2,1,0,0,0,0,2,0,False,True,8.51579221050061
4060000,4340,3,1,1,1,0,0,0,0,0,0,True,False,8.375860015299594
4060000,3000,4,1,3,1,0,1,0,1,2,0,True,False,8.006700845440367
4060000,4320,3,1,2,1,0,0,0,0,2,1,False,False,8.371242135931933
4025000,3630,3,2,2,1,0,0,1,0,2,0,True,False,8.197263371414335
4025000,3460,3,2,1,1,0,1,0,1,1,0,False,False,8.149312843635345
4025000,5400,3,1,1,1,0,0,0,0,3,0,True,False,8.594339400592892
4007500,4500,3,1,2,0,0,1,0,1,0,0,True,False,8.412054873292933
4007500,3460,4,1,2,1,0,0,0,1,0,0,True,False,8.149312843635345
3990000,4100,4,1,1,0,0,1,0,0,0,0,False,True,8.31898612539206
3990000,6480,3,1,2,0,0,0,0,1,1,0,True,False,8.776630098427717
3990000,4500,3,2,2,0,0,1,0,1,0,0,True,False,8.412054873292933
3990000,3960,3,1,2,1,0,0,0,0,0,0,False,False,8.284251797621916
3990000,4050,2,1,2,1,1,1,0,0,0,1,False,True,8.30671904320269
3920000,7260,3,2,1,1,1,1,0,0,3,0,False,False,8.890272839380247
3920000,5500,4,1,2,1,1,1,0,0,0,0,True,False,8.612685172875459
3920000,3000,3,1,2,1,0,0,0,0,0,0,True,False,8.006700845440367
3920000,3290,2,1,1,1,0,0,1,0,1,0,False,False,8.098946748943339
3920000,3816,2,1,1,1,0,1,0,1,2,0,False,False,8.247220052745229
3920000,8080,3,1,1,1,0,0,0,1,2,0,True,False,8.997270906233448
3920000,2145,4,2,1,1,0,1,0,0,0,1,False,True,7.671360923190644
3885000,3780,2,1,2,1,1,1,0,0,0,0,True,False,8.237743803890933
3885000,3180,4,2,2,1,0,0,0,0,0,0,False,False,8.064950891749143
3850000,5300,5,2,2,1,0,0,0,0,0,0,True,False,8.575650760987806
3850000,3180,2,2,1,1,0,1,0,0,2,0,True,False,8.064950891749143
3850000,7152,3,1,2,1,0,0,0,1,0,0,False,False,8.875287128108384
3850000,4080,2,1,1,1,0,0,0,0,0,0,True,False,8.314097335405807
3850000,3850,2,1,1,1,0,0,0,0,0,0,True,False,8.25608813381491
3850000,2015,3,1,2,1,0,1,0,0,0,1,True,False,7.60887062919126
3850000,2176,2,1,2,1,1,0,0,0,0,1,True,False,7.685703061234547
3836000,3350,3,1,2,1,0,0,0,0,0,0,False,True,8.11701408773731
3815000,3150,2,2,1,0,0,1,0,0,0,0,True,False,8.055475141757274
3780000,4820,3,1,2,1,0,0,0,0,0,0,True,False,8.480736654405622
3780000,3420,2,1,2,1,0,0,1,0,1,0,True,False,8.137688184977605
3780000,3600,2,1,1,1,0,0,0,0,0,0,True,False,8.188966863648876
3780000,5830,2,1,1,1,0,0,0,0,2,0,False,True,8.670943791222156
3780000,2856,3,1,3,1,0,0,0,0,0,1,False,False,7.957527402230773
